student_id,subjects,interests
S436,"French, Computer Studies, Art and Design","Fashion Design Tech"
S437,"German, Computer Studies, Business Studies","Automotive Tech"
S438,"History, Computer Studies, Art and Design","Virtual Museums"
S439,"CRE, Computer Studies, Business Studies","Faith-Based Analytics"
S440,"IRE, Computer Studies, Mathematics","Islamic Math Apps"
S441,"Agriculture, Computer Studies, Music","Farm Soundscapes"
S442,"Music, Computer Studies, Art and Design","Virtual Concerts"
S443,"Art and Design, Computer Studies, Physics","Interactive Installations"
S444,"Home Science, Computer Studies, Geography","Global Cuisine Apps"
S445,"Building Construction, Computer Studies, Art and Design","Architectural VR"
S446,"Woodwork, Computer Studies, Business Studies","Artisan Marketplace"
S447,"Metalwork, Computer Studies, Art and Design","Industrial Design Tech"
S448,"English, Computer Studies, Physics","Science Communication"
S449,"Kiswahili, Computer Studies, Business Studies","African E-commerce"
S450,"Mathematics, Computer Studies, Geography","Climate Math Models"
S451,"Mathematics, Physics, Geography, Computer Studies","Drone Mapping, GPS Technology"
S452,"Mathematics, Physics, Chemistry, Computer Studies","Rocketry Club, Aerodynamics"
S453,"Mathematics, Physics, Chemistry, Computer Studies","Chemical Process Simulations"
S454,"Mathematics, Physics, Chemistry, Computer Studies","Bridge Design Competitions"
S455,"Mathematics, Physics, Chemistry, Computer Studies","Circuit Board Building"
S456,"Mathematics, Physics, Chemistry, Computer Studies","Telecom Network Design"
S457,"Mathematics, Physics, Chemistry, Computer Studies","Robotics Club, Mechatronics"
S458,"Mathematics, Physics, Chemistry, Computer Studies","Aircraft Model Making"
S459,"Mathematics, Physics, Chemistry, Computer Studies","Industrial Automation Projects"
S460,"Mathematics, Physics, Chemistry, Computer Studies","Textile Engineering Projects"
S461,"Mathematics, Physics, Chemistry, Computer Studies","Electronic Gadget Repair"
S462,"Mathematics, Physics, Chemistry, Computer Studies","Robot Wars Competitions"
S463,"Mathematics, Physics, Chemistry, Computer Studies","Space Technology Research"
S464,"Mathematics, Physics, Chemistry, Computer Studies","Marine Engineering Models"
S465,"Mathematics, Physics, Chemistry, Geography","Water Purification Projects"
S466,"Mathematics, Physics, Chemistry, Computer Studies","Oil Rig Simulations"
S467,"Mathematics, Physics, Chemistry, Agriculture","Farm Equipment Design"
S468,"Mathematics, Physics, Chemistry, Computer Studies","Mining Technology Games"
S469,"Mathematics, Physics, Chemistry, Business Studies","Chemical Startup Ideas"
S470,"Mathematics, Physics, Chemistry, Computer Studies","Lab Equipment Hacking"
S471,"Mathematics, Physics, Chemistry, Computer Studies","Renewable Energy Models"
S472,"Mathematics, Physics, Chemistry, Computer Studies","Laser Technology Projects"
S473,"Mathematics, Physics, Chemistry, Computer Studies","Energy Efficiency Challenges"
S474,"Mathematics, Physics, Chemistry, Computer Studies","Electronic Music Instruments"
S475,"Mathematics, Physics, Chemistry, Biology","Biomedical Device Prototypes"
S476,"Mathematics, Physics, Chemistry, Agriculture","Irrigation System Design"
S477,"Mathematics, Physics, Chemistry, Computer Studies","Chemical Plant Simulations"
S478,"Mathematics, Physics, Chemistry, Computer Studies","Instrumentation Projects"
S479,"Mathematics, Physics, Chemistry, Geography","Climate Monitoring Tech"
S480,"Mathematics, Physics, Chemistry, Biology","Biofuel Experiments"
S481,"Mathematics, Physics, Chemistry, Computer Studies","Telecom Hackathons"
S482,"Mathematics, Physics, Chemistry, Computer Studies","Manufacturing Simulations"
S483,"Mathematics, Physics, Chemistry","Optical Illusion Projects"
S484,"Mathematics, Physics, Chemistry, Computer Studies","Power Grid Models"
S485,"Mathematics, Physics, Chemistry, Biology","Prosthetic Design"
S486,"Mathematics, Physics, Chemistry, Computer Studies","Industrial Robot Programming"
S487,"Mathematics, Physics, Chemistry, Geography","Solar Panel Optimization"
S488,"Mathematics, Physics, Chemistry, Computer Studies","3D Printing Chemical Models"
S489,"Mathematics, Physics, Chemistry, Business Studies","Tech Startup Pitches"
S490,"Mathematics, Physics, Chemistry, Computer Studies","Electronic Component Recycling"
S491,"Mathematics, Physics, English/Kiswahili, Art and Design","Architectural Model Making"
S492,"Mathematics, Physics, English/Kiswahili, Geography","Construction Cost Estimation"
S493,"Mathematics, Physics, English/Kiswahili, Art and Design","Urban Design Sketches"
S494,"Mathematics, English/Kiswahili, Geography","City Planning Games"
S495,"Mathematics, English/Kiswahili, Geography","Construction Project Management"
S496,"Mathematics, English/Kiswahili, Geography","Neighborhood Development Plans"
S497,"Mathematics, Physics, Chemistry, English/Kiswahili","Science Teaching Aids"
S498,"Mathematics, Physics, Chemistry, English/Kiswahili","Engineering Workshop Assistant"
S499,"Mathematics, Physics, Computer Studies, English/Kiswahili","Coding Tutor, STEM Mentor"
S500,"Mathematics, Physics, Chemistry, English/Kiswahili","Technical Manual Writing"
S501,"Mathematics, Physics, Geography, Computer Studies","Satellite Imagery Analysis"
S502,"Mathematics, Physics, Geography, Computer Studies","Disaster Response Mapping"
S503,"Mathematics, Physics, Geography, Computer Studies","Urban Heat Island Studies"
S504,"Mathematics, Physics, Chemistry, Computer Studies","Chemical Reaction Visualizations"
S505,"Mathematics, Physics, Chemistry, Computer Studies","Nanotechnology Simulations"
S506,"Mathematics, Physics, Chemistry, Computer Studies","Polymer Science Experiments"
S507,"Mathematics, Physics, Chemistry, Computer Studies","Battery Technology Research"
S508,"Mathematics, Physics, Chemistry, Computer Studies","Chemical Safety Apps"
S509,"Mathematics, Physics, Chemistry, Computer Studies","Lab Automation Projects"
S510,"Mathematics, Physics, Chemistry, Computer Studies","Periodic Table Games"
S511,"Mathematics, Physics, Chemistry, Computer Studies","Molecular Structure Modeling"
S512,"Mathematics, Physics, Chemistry, Computer Studies","Chemical Engineering Puzzles"
S513,"Mathematics, Physics, Chemistry, Computer Studies","Process Flow Diagrams"
S514,"Mathematics, Physics, Chemistry, Computer Studies","Industrial Chemistry Challenges"
S515,"Mathematics, Physics, Chemistry, Computer Studies","Petroleum Engineering Sims"
S516,"Mathematics, Physics, Chemistry, Computer Studies","Mine Safety Technology"
S517,"Mathematics, Physics, Chemistry, Computer Studies","Water Treatment Models"
S518,"Mathematics, Physics, Chemistry, Computer Studies","Renewable Energy Calculators"
S519,"Mathematics, Physics, Chemistry, Computer Studies","Biofuel Production Sims"
S520,"Mathematics, Physics, Chemistry, Computer Studies","Chemical Plant Safety"
S521,"Mathematics, Physics, Chemistry, Biology","Medical Device Prototypes"
S522,"Mathematics, Physics, Chemistry, Biology","Biomechanics Experiments"
S523,"Mathematics, Physics, Chemistry, Biology","Genetic Engineering Sims"
S524,"Mathematics, Physics, Chemistry, Biology","Tissue Engineering Models"
S525,"Mathematics, Physics, Chemistry, Biology","Prosthetic Limb Design"
S526,"Mathematics, Physics, Chemistry, Biology","Medical Imaging Technology"
S527,"Mathematics, Physics, Chemistry, Biology","Biomedical Sensor Projects"
S528,"Mathematics, Physics, Chemistry, Biology","Artificial Organ Research"
S529,"Mathematics, Physics, Chemistry, Biology","Neural Interface Tech"
S530,"Mathematics, Physics, Chemistry, Biology","Drug Delivery Systems"
S531,"Mathematics, Physics, Chemistry, Agriculture","Smart Greenhouse Design"
S532,"Mathematics, Physics, Chemistry, Agriculture","Precision Farming Tech"
S533,"Mathematics, Physics, Chemistry, Agriculture","Livestock Monitoring Systems"
S534,"Mathematics, Physics, Chemistry, Agriculture","Soil Analysis Tech"
S535,"Mathematics, Physics, Chemistry, Agriculture","Irrigation Control Systems"
S536,"Mathematics, Physics, Chemistry, Agriculture","Crop Disease Detection"
S537,"Mathematics, Physics, Chemistry, Agriculture","Farm Robot Design"
S538,"Mathematics, Physics, Chemistry, Agriculture","Agricultural Drone Tech"
S539,"Mathematics, Physics, Chemistry, Agriculture","Food Processing Tech"
S540,"Mathematics, Physics, Chemistry, Agriculture","Hydroponic System Design"
S541,"Mathematics, Physics, Chemistry, Computer Studies","Chemical Coding Projects"
S542,"Mathematics, Physics, Chemistry, Computer Studies","Lab Equipment Programming"
S543,"Mathematics, Physics, Chemistry, Computer Studies","Process Control Software"
S544,"Mathematics, Physics, Chemistry, Computer Studies","Chemical Data Analysis"
S545,"Mathematics, Physics, Chemistry, Computer Studies","Molecular Simulation Games"
S546,"Mathematics, Physics, Chemistry, Computer Studies","Chemical Inventory Apps"
S547,"Mathematics, Physics, Chemistry, Computer Studies","Reaction Kinetics Sims"
S548,"Mathematics, Physics, Chemistry, Computer Studies","Chemical Bonding Games"
S549,"Mathematics, Physics, Chemistry, Computer Studies","Industrial Process Control"
S550,"Mathematics, Physics, Chemistry, Computer Studies","Chemical Safety VR"
